DHB,Dose1,Dose2,Population,Date
Northland,2427,1871,2934,2021-11-05
Waitemata,32465,27042,37573,2021-11-05
Auckland,40029,33439,46866,2021-11-05
Counties Manukau,98341,81344,116498,2021-11-05
Waikato,9296,7656,10682,2021-11-05
Lakes,1854,1499,2286,2021-11-05
Bay of Plenty,4094,3296,3679,2021-11-05
Tairawhiti,894,701,965,2021-11-05
Taranaki,1084,838,1270,2021-11-05
Hawkes Bay,5208,4316,5020,2021-11-05
MidCentral,3851,3068,4468,2021-11-05
Whanganui,1067,868,1381,2021-11-05
Capital and Coast,15900,13111,19177,2021-11-05
Hutt Valley,8087,6654,9894,2021-11-05
Wairarapa,706,581,837,2021-11-05
Nelson Marlborough,3656,3223,2115,2021-11-05
West Coast,238,187,282,2021-11-05
Canterbury,11043,8537,12737,2021-11-05
South Canterbury,815,656,837,2021-11-05
Southern,5713,4699,6031,2021-11-05
Overseas / Unknown,332,302,1149,2021-11-05
Total,247100,203888,286681,2021-11-05
