DHB,Dose1,Dose2,Population,Date
Northland,2537,2096,2934,2021-11-15
Waitemata,33157,29038,37573,2021-11-15
Auckland,40979,36033,46866,2021-11-15
Counties Manukau,100753,87682,116498,2021-11-15
Waikato,9480,8182,10682,2021-11-15
Lakes,1941,1640,2286,2021-11-15
Bay of Plenty,4239,3590,3679,2021-11-15
Tairawhiti,924,779,965,2021-11-15
Taranaki,1126,915,1270,2021-11-15
Hawkes Bay,5399,4637,5020,2021-11-15
MidCentral,3965,3319,4468,2021-11-15
Whanganui,1108,937,1381,2021-11-15
Capital and Coast,16315,13868,19177,2021-11-15
Hutt Valley,8305,7179,9894,2021-11-15
Wairarapa,743,618,837,2021-11-15
Nelson Marlborough,3713,3346,2115,2021-11-15
West Coast,244,205,282,2021-11-15
Canterbury,11321,9203,12737,2021-11-15
South Canterbury,831,703,837,2021-11-15
Southern,5860,4979,6031,2021-11-15
Overseas / Unknown,389,358,1149,2021-11-15
New Zealand,253329,219307,286681,2021-11-15
All DHBs to 90%,NA,NA,NA,2021-11-15
