DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2918,2843,1345,2420,2934,2022-04-25
Waitemata,35908,35376,17714,29832,37573,2022-04-25
Auckland,44307,43501,22342,37264,46866,2022-04-25
Counties Manukau,110152,108125,51988,90935,116498,2022-04-25
Waikato,10566,10365,5257,8821,10682,2022-04-25
Lakes,2200,2141,1144,1871,2286,2022-04-25
Bay of Plenty,4947,4859,2226,4239,3679,2022-04-25
Tairawhiti,1071,1048,567,919,965,2022-04-25
Taranaki,1299,1276,624,1054,1270,2022-04-25
Hawkes Bay,7613,7476,3767,6531,5020,2022-04-25
MidCentral,4538,4457,2291,3684,4468,2022-04-25
Whanganui,1254,1222,632,1034,1381,2022-04-25
Capital and Coast,18442,18198,10354,15651,19177,2022-04-25
Hutt Valley,9548,9386,5130,7972,9894,2022-04-25
Wairarapa,909,890,493,768,837,2022-04-25
Nelson Marlborough,4567,4512,2370,4054,2115,2022-04-25
West Coast,276,270,148,216,282,2022-04-25
Canterbury,12835,12618,6438,10599,12737,2022-04-25
South Canterbury,1015,1002,452,860,837,2022-04-25
Southern,7024,6922,3576,5897,6031,2022-04-25
Overseas / Unknown,413,399,185,352,1149,2022-04-25
New Zealand,281802,276886,139043,234973,286681,2022-04-25
