DHB,Dose1,Dose2,Population,Date
Northland,2836,2655,2934,2022-01-01
Waitemata,34954,33555,37573,2022-01-01
Auckland,43131,41313,46866,2022-01-01
Counties Manukau,106771,101978,116498,2022-01-01
Waikato,10143,9710,10682,2022-01-01
Lakes,2121,2005,2286,2022-01-01
Bay of Plenty,4702,4465,3679,2022-01-01
Tairawhiti,1011,958,965,2022-01-01
Taranaki,1262,1185,1270,2022-01-01
Hawkes Bay,6267,5934,5020,2022-01-01
MidCentral,4369,4131,4468,2022-01-01
Whanganui,1196,1132,1381,2022-01-01
Capital and Coast,17960,17198,19177,2022-01-01
Hutt Valley,9243,8782,9894,2022-01-01
Wairarapa,822,784,837,2022-01-01
Nelson Marlborough,4148,3989,2115,2022-01-01
West Coast,281,269,282,2022-01-01
Canterbury,12357,11781,12737,2022-01-01
South Canterbury,959,904,837,2022-01-01
Southern,6473,6174,6031,2022-01-01
Overseas / Unknown,368,348,1149,2022-01-01
New Zealand,271374,259250,286681,2022-01-01
All DHBs to 90%,NA,NA,NA,2022-01-01
