DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2900,2797,986,1949,2934,2022-02-18
Waitemata,35781,35045,13273,25883,37573,2022-02-18
Auckland,44094,43058,16743,32522,46866,2022-02-18
Counties Manukau,109740,107085,38448,78296,116498,2022-02-18
Waikato,10432,10169,3947,7426,10682,2022-02-18
Lakes,2180,2116,849,1510,2286,2022-02-18
Bay of Plenty,4842,4718,1656,3475,3679,2022-02-18
Tairawhiti,1050,1027,396,759,965,2022-02-18
Taranaki,1301,1273,430,825,1270,2022-02-18
Hawkes Bay,7091,6892,2584,5036,5020,2022-02-18
MidCentral,4513,4397,1667,3015,4468,2022-02-18
Whanganui,1245,1205,463,843,1381,2022-02-18
Capital and Coast,18429,18047,7821,12733,19177,2022-02-18
Hutt Valley,9514,9292,3907,6482,9894,2022-02-18
Wairarapa,881,857,344,606,837,2022-02-18
Nelson Marlborough,4556,4479,1794,3522,2115,2022-02-18
West Coast,283,276,105,186,282,2022-02-18
Canterbury,12732,12424,4467,8392,12737,2022-02-18
South Canterbury,981,963,263,668,837,2022-02-18
Southern,6769,6617,2507,4668,6031,2022-02-18
Overseas / Unknown,420,398,151,313,1149,2022-02-18
New Zealand,279734,273135,102801,199109,286681,2022-02-18
