DHB,Dose1,Dose2,Population,Date
Northland,2762,2477,2934,2021-12-11
Waitemata,34563,32364,37573,2021-12-11
Auckland,42682,39907,46866,2021-12-11
Counties Manukau,105358,98099,116498,2021-12-11
Waikato,10044,9288,10682,2021-12-11
Lakes,2101,1909,2286,2021-12-11
Bay of Plenty,4621,4175,3679,2021-12-11
Tairawhiti,999,899,965,2021-12-11
Taranaki,1241,1097,1270,2021-12-11
Hawkes Bay,5963,5384,5020,2021-12-11
MidCentral,4282,3873,4468,2021-12-11
Whanganui,1181,1071,1381,2021-12-11
Capital and Coast,17705,16228,19177,2021-12-11
Hutt Valley,9087,8211,9894,2021-12-11
Wairarapa,811,743,837,2021-12-11
Nelson Marlborough,3961,3709,2115,2021-12-11
West Coast,278,254,282,2021-12-11
Canterbury,12190,11163,12737,2021-12-11
South Canterbury,897,814,837,2021-12-11
Southern,6324,5810,6031,2021-12-11
Overseas / Unknown,372,345,1149,2021-12-11
New Zealand,267422,247820,286681,2021-12-11
All DHBs to 90%,NA,NA,NA,2021-12-11
