DHB,Dose1,Dose2,Population,Date
Northland,2418,1842,2934,2021-11-04
Waitemata,32401,26854,37573,2021-11-04
Auckland,39963,33200,46866,2021-11-04
Counties Manukau,98113,80813,116498,2021-11-04
Waikato,9272,7578,10682,2021-11-04
Lakes,1848,1488,2286,2021-11-04
Bay of Plenty,4091,3273,3679,2021-11-04
Tairawhiti,891,697,965,2021-11-04
Taranaki,1076,828,1270,2021-11-04
Hawkes Bay,5200,4294,5020,2021-11-04
MidCentral,3837,3029,4468,2021-11-04
Whanganui,1063,864,1381,2021-11-04
Capital and Coast,15853,13005,19177,2021-11-04
Hutt Valley,8077,6610,9894,2021-11-04
Wairarapa,702,577,837,2021-11-04
Nelson Marlborough,3652,3209,2115,2021-11-04
West Coast,235,185,282,2021-11-04
Canterbury,10991,8467,12737,2021-11-04
South Canterbury,810,650,837,2021-11-04
Southern,5699,4670,6031,2021-11-04
Overseas / Unknown,334,301,1149,2021-11-04
Total,246526,202434,286681,2021-11-04
